table_name,column_name,data_type,is_nullable,column_default
EVENT_TEMP_ENTRY,status,text,YES,null
EVENT_TEMP_ENTRY,format,text,YES,null
EVENT_TEMP_ENTRY,created_at,timestamp with time zone,YES,(now() AT TIME ZONE 'jst'::text)
EVENT_TEMP_ENTRY,created_by,bigint,YES,null
EVENT_TEMP_ENTRY,updated_at,timestamp with time zone,YES,(now() AT TIME ZONE 'jst'::text)
EVENT_TEMP_ENTRY,updated_by,bigint,YES,null
EVENT_TEMP_ENTRY,act_kbn,boolean,YES,true
# M_ALL_USER 全従業員用のマスタテーブル
M_ALL_USER,emp_no,bigint,NO,null
M_ALL_USER,email,text,NO,null
M_ALL_USER,myoji,text,YES,null
M_ALL_USER,namae,text,YES,null
M_ALL_USER,joinDate,timestamp with time zone,YES,null
M_ALL_USER,created_at,timestamp with time zone,YES,(now() AT TIME ZONE 'jst'::text)
M_ALL_USER,created_by,bigint,YES,null
M_ALL_USER,updated_at,timestamp with time zone,YES,(now() AT TIME ZONE 'jst'::text)
M_ALL_USER,updated_by,bigint,YES,null
M_ALL_USER,act_kbn,boolean,YES,true
# PLAN_CHAT 日程調整チャット用のテーブル
PLAN_CHAT,chat_id,bigint,NO,null
PLAN_CHAT,plan_id,bigint,NO,null
PLAN_CHAT,emp_no,bigint,YES,null
PLAN_CHAT,message,text,YES,null
PLAN_CHAT,created_at,timestamp with time zone,YES,(now() AT TIME ZONE 'jst'::text)
PLAN_CHAT,created_by,bigint,YES,null
PLAN_CHAT,updated_at,timestamp with time zone,YES,(now() AT TIME ZONE 'jst'::text)
PLAN_CHAT,updated_by,bigint,YES,null
PLAN_CHAT,act_kbn,boolean,YES,true
# PLAN_EVENT_DATES 日程調整の候補日用のテーブル
PLAN_EVENT_DATES,date_id,bigint,NO,null
PLAN_EVENT_DATES,plan_id,bigint,NO,null
PLAN_EVENT_DATES,datetime,timestamp without time zone,YES,null
PLAN_EVENT_DATES,created_at,timestamp with time zone,YES,(now() AT TIME ZONE 'jst'::text)
PLAN_EVENT_DATES,created_by,bigint,YES,null
PLAN_EVENT_DATES,updated_at,timestamp with time zone,YES,null
PLAN_EVENT_DATES,updated_by,bigint,YES,null
PLAN_EVENT_DATES,act_kbn,boolean,YES,true
PLAN_LIST_DETAIL,plan_id,bigint,NO,null
PLAN_LIST_DETAIL,title,text,YES,''::text
PLAN_LIST_DETAIL,owner,bigint,YES,null
